home_team,away_team,date,week,score,home_b,away_b,target
sea,den,2014-09-21,3,-0.06717498707721392,0.46511627906976744,1.75,1
nor,sea,2022-10-09,5,-0.019230686544260744,0.40816326530612246,1.97,1
phi,min,2016-10-23,7,-0.07525460826329125,1.36,0.6060606060606061,1
car,tam,2017-12-24,16,0.4914429074767429,0.20408163265306123,3.65,1
nwe,nyj,2022-11-20,11,0.2964757833299695,0.5291005291005291,1.57,1
det,sdg,2019-09-15,2,-0.28299500462770066,1.04,0.8064516129032258,1
phi,was,2010-10-03,4,0.3474575854079803,0.425531914893617,1.9,0
car,nyg,2013-09-22,3,-0.40125913039543754,1.36,0.6060606060606061,1
car,chi,2020-10-18,6,-0.019927399789746843,0.7751937984496124,1.08,0
dal,was,2016-01-03,17,-0.31534502262693465,0.6060606060606061,1.36,0
tam,phi,2022-01-16,19,0.6128540448739765,0.3125,2.5,1
nwe,buf,2015-11-23,11,0.9128562211981482,0.3125,2.5,1
dal,was,2018-11-22,12,0.2024835633645831,0.3125,2.5,1
nyj,buf,2015-11-12,10,-0.11468150925788845,0.6944444444444444,1.19,0
den,cin,2021-12-19,15,-0.0108771040480624,0.6060606060606061,1.36,0
cle,htx,2020-11-15,10,-0.18141610666511213,0.46511627906976744,1.75,1
mia,atl,2021-10-24,7,-0.32277341938323906,1.08,0.7751937984496124,0
pit,atl,2018-10-07,5,-0.003463787139388101,0.5291005291005291,1.57,1
sea,nor,2011-01-08,19,-0.5637550009627308,3.65,0.20408163265306123,1
dal,jax,2018-10-14,6,-0.03367464114415347,1.36,0.6060606060606061,1
clt,mia,2019-11-10,10,0.8240596375025468,0.17543859649122806,4.15,0
nyj,mia,2012-10-28,8,-0.029105918914129083,0.8064516129032258,1.04,0
rav,nyj,2019-12-12,15,1.0364040294037058,0.07241129616220131,7.69,1
tam,jax,2015-10-11,5,0.02413567781735359,0.8064516129032258,1.04,1
sfo,chi,2018-12-23,16,-0.5259623792743917,1.75,0.46511627906976744,0
chi,rav,2021-11-21,11,-0.8181963064966347,1.04,0.8064516129032258,0
mia,chi,2018-10-14,6,-0.20247547861611576,2.7,0.2857142857142857,1
chi,min,2012-11-25,12,0.25131279281482183,0.35714285714285715,2.28,1
sea,sfo,2022-12-15,15,-0.3956570219452158,1.36,0.6060606060606061,0
nor,atl,2016-09-26,3,-0.31173546579256256,0.6060606060606061,1.36,0
cle,det,2021-11-21,11,0.8208095983666839,0.12121212121212122,5.45,1
htx,tam,2015-09-27,3,0.4900123061403247,0.38461538461538464,2.09,1
atl,tam,2017-11-26,12,0.5429705024975472,0.20408163265306123,3.65,1
rav,dal,2012-10-14,6,0.8119030091532797,0.6060606060606061,1.36,1
atl,crd,2023-01-01,17,0.09448208031646613,0.35714285714285715,2.28,1
sea,ram,2021-01-09,19,0.15246947965379,0.6060606060606061,1.36,0
oti,cin,2022-01-22,19,0.14163378844661584,0.46511627906976744,1.75,0
pit,cin,2010-12-12,14,0.5651012427376711,0.2702702702702703,2.85,1
rav,chi,2017-10-15,6,0.3818598880412505,0.35714285714285715,2.28,0
clt,jax,2013-12-29,17,0.9282512493809265,0.15384615384615385,4.5,1
